x_param,x_value,y_param,y_value,fidelity
T1_us,30.0,T2_us,40.0,0.9117393179156724
T1_us,30.0,T2_us,80.0,0.9242786514892465
T1_us,30.0,T2_us,120.0,0.9242786514892465
T1_us,30.0,T2_us,160.0,0.9242786514892465
T1_us,30.0,T2_us,200.0,0.9242786514892465
T1_us,60.0,T2_us,40.0,0.9120822793106707
T1_us,60.0,T2_us,80.0,0.9310495624281612
T1_us,60.0,T2_us,120.0,0.9375640445687605
T1_us,60.0,T2_us,160.0,0.9375640445687605
T1_us,60.0,T2_us,200.0,0.9375640445687605
T1_us,100.0,T2_us,40.0,0.9122195501664753
T1_us,100.0,T2_us,80.0,0.9311930773618213
T1_us,100.0,T2_us,120.0,0.9377098010443266
T1_us,100.0,T2_us,160.0,0.9410049670958766
T1_us,100.0,T2_us,200.0,0.9429939620001802
T1_us,150.0,T2_us,40.0,0.9122882025233385
T1_us,150.0,T2_us,80.0,0.9312649568662956
T1_us,150.0,T2_us,120.0,0.937782634479611
T1_us,150.0,T2_us,160.0,0.9410784122258888
T1_us,150.0,T2_us,200.0,0.9430677383780212
T1_us,200.0,T2_us,40.0,0.9123225329360061
T1_us,200.0,T2_us,80.0,0.93130086724475
T1_us,200.0,T2_us,120.0,0.9378190897642078
T1_us,200.0,T2_us,160.0,0.9411150685647973
T1_us,200.0,T2_us,200.0,0.9431046299088341
